stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
12462,12462,"Addison & Cumberland Terminal","Addison & Cumberland Terminal, Northbound, Bus Terminal",41.94443813,-87.83549313,0,,1
12464,12464,"Addison & Pittsburgh","Addison & Pittsburgh, Eastbound, Southwest Corner",41.944807,-87.832846,0,,1
12466,12466,"Addison & Paris","Addison & Paris, Eastbound, Southwest Corner",41.944873,-87.830403,0,,1
12469,12469,"Addison & Forest Preserve Avenue","Addison & Forest Preserve Avenue, Eastbound, Southwest Corner",41.9450165,-87.8256147,0,,1
12470,12470,"Addison & Orange","Addison & Orange, Eastbound, Southwest Corner",41.945053,-87.824261,0,,1
12471,12471,"Addison & Ozanam","Addison & Ozanam, Eastbound, Southwest Corner",41.945121,-87.821795,0,,1
12472,12472,"Addison & Overhill","Addison & Overhill, Eastbound, Southwest Corner",41.945169,-87.819706,0,,1
12473,12473,"Addison & Oriole","Addison & Oriole, Eastbound, Southwest Corner",41.945122,-87.816876,0,,1
12474,12474,"Addison & Olcott","Addison & Olcott, Eastbound, Southwest Corner",41.945061,-87.814441,0,,1
12475,12475,"Addison & Oketo","Addison & Oketo, Eastbound, Southwest Corner",41.945107,-87.811931,0,,1
12476,12476,"Addison & Octavia","Addison & Octavia, Eastbound, Southwest Corner",41.945151,-87.809525,0,,1
12479,12479,"Addison & Nordica","Addison & Nordica, Eastbound, Southwest Corner",41.945273,-87.803444,0,,1
12480,12480,"Addison & Sayre","Addison & Sayre, Eastbound, Southside of the Street",41.945321,-87.800767,0,,1
12481,12481,"Addison & New England","Addison & New England, Eastbound, Southwest Corner",41.94537,-87.798541,0,,1
12483,12483,"Addison & Normandy","Addison & Normandy, Eastbound, Southwest Corner",41.94543957,-87.79363422,0,,1
12485,12485,"Addison & Neenah","Addison & Neenah, Eastbound, Southwest Corner",41.945535,-87.79009,0,,1
12488,12488,"Addison & Mobile","Addison & Mobile, Eastbound, Southwest Corner",41.945634,-87.783909,0,,1
12489,12489,"Addison & Melvina","Addison & Melvina, Eastbound, Southwest Corner",41.94566,-87.781482,0,,1
12490,12490,"Addison & Meade","Addison & Meade, Eastbound, Southwest Corner",41.945686,-87.779045,0,,1
12491,12491,"Addison & Austin","Addison & Austin, Eastbound, Southeast Corner",41.94571,-87.776253,0,,1
12492,12492,"Addison & Marmora","Addison & Marmora, Eastbound, Southwest Corner",41.945738,-87.77418,0,,1
12493,12493,"Addison & Menard","Addison & Menard, Eastbound, Southwest Corner",41.94577284,-87.77167961,0,,1
12494,12494,"Addison & Major","Addison & Major, Eastbound, Southwest Corner",41.94576518,-87.76930621,0,,1
12496,12496,"Addison & Linder","Addison & Linder, Eastbound, Southwest Corner",41.94582218,-87.76440121,0,,1
12497,12497,"Addison & Long","Addison & Long, Eastbound, Southwest Corner",41.94585318,-87.76194821,0,,1
12498,12498,"Addison & Lockwood","Addison & Lockwood, Eastbound, Southwest Corner",41.94593383,-87.75942346,0,,1
12499,12499,"Addison & Laramie","Addison & Laramie, Eastbound, Southwest Corner",41.94590359,-87.7570356,0,,1
12500,12500,"Addison & Leclaire","Addison & Leclaire, Eastbound, Southside of the Street",41.94599482,-87.75442046,0,,1
12501,12501,"Addison & Lavergne","Addison & Lavergne, Eastbound, Southwest Corner",41.94602582,-87.75206046,0,,1
12502,12502,"Addison & Lamon","Addison & Lamon, Eastbound, Southside of the Street",41.94602164,-87.74973813,0,,1
12504,12504,"Addison & Kilpatrick","Addison & Kilpatrick, Eastbound, Southwest Corner",41.94609917,-87.74409295,0,,1
12505,12505,"Addison & Kenton","Addison & Kenton, Eastbound, Southeast Corner",41.94613066,-87.74183914,0,,1
12507,12507,"Addison & Kostner","Addison & Kostner, Eastbound, Southwest Corner",41.94618879,-87.73730274,0,,1
12508,12508,"Addison & Milwaukee","Addison & Milwaukee, Eastbound, Southeast Corner",41.94621021,-87.73501993,0,,1
12509,12509,"Addison & Keeler","Addison & Keeler, Eastbound, Southwest Corner",41.9462376,-87.73229411,0,,1
12510,12510,"Addison & Karlov","Addison & Karlov, Eastbound, Southwest Corner",41.94629113,-87.72931198,0,,1
12512,12512,"Addison & Springfield","Addison & Springfield, Eastbound, Southwest Corner",41.9463223,-87.72507899,0,,1
12513,12513,"Addison & Hamlin","Addison & Hamlin, Eastbound, Southwest Corner",41.9463543,-87.72263599,0,,1
12514,12514,"Addison & Lawndale/Avondale","Addison & Lawndale/Avondale, Eastbound, Southwest Corner",41.94641121,-87.72014702,0,,1
12515,12515,"Addison Blue Line Station","Addison Blue Line Station, Eastbound, Southwest Corner",41.9464173,-87.717525,0,,1
12516,12516,"Addison & St. Louis","Addison & St. Louis, Eastbound, Southside of the Street",41.94646099,-87.71526047,0,,1
12518,12518,"Addison & Elston","Addison & Elston, Eastbound, Southwest Corner",41.946558,-87.708933,0,,1
12519,12519,"Addison & Kedzie","Addison & Kedzie, Eastbound, Southeast Corner",41.94656864,-87.70758353,0,,1
12520,12520,"Addison & Albany","Addison & Albany, Eastbound, Southwest Corner",41.94658833,-87.70547852,0,,1
12521,12521,"Addison & Sacramento","Addison & Sacramento, Eastbound, Southwest Corner",41.94659714,-87.70302458,0,,1
12522,12522,"Addison & Francisco","Addison & Francisco, Eastbound, Southside of the Street",41.94659314,-87.70054336,0,,1
12523,12523,"Addison & California","Addison & California, Eastbound, Southwest Corner",41.946624,-87.698134,0,,1
12524,12524,"Addison & Rockwell","Addison & Rockwell, Eastbound, Southwest Corner",41.946644,-87.694245,0,,1
12525,12525,"Addison & Campbell (Lane Tech HS)","Addison & Campbell (Lane Tech HS), Eastbound, Southeast Corner",41.94667222,-87.69050761,0,,1
12526,12526,"Addison & Artesian","Addison & Artesian, Eastbound, Southside of the Street",41.94667708,-87.68959679,0,,1
12527,12527,"Addison & Western","Addison & Western, Eastbound, Southwest Corner",41.9466599,-87.68847434,0,,1
12528,12528,"Addison & Oakley","Addison & Oakley, Eastbound, Southwest Corner",41.94671243,-87.6859281,0,,1
12529,12529,"Addison & Leavitt","Addison & Leavitt, Eastbound, Southwest Corner",41.94674604,-87.68349379,0,,1
12530,12530,"Addison & Hoyne","Addison & Hoyne, Eastbound, Southwest Corner",41.94676416,-87.68105904,0,,1
12531,12531,"Addison & Damen","Addison & Damen, Eastbound, Southwest Corner",41.94679958,-87.6786764,0,,1
12532,12532,"Addison & Wolcott","Addison & Wolcott, Eastbound, Southwest Corner",41.94683298,-87.67622282,0,,1
12533,12533,"Addison Brown Line Station","Addison Brown Line Station, Eastbound, Southside of the Street",41.9468416,-87.67464775,0,,1
12534,12534,"Addison & Lincoln","Addison & Lincoln, Eastbound, Southeast Corner",41.94685453,-87.67338938,0,,1
12535,12535,"Addison & Paulina","Addison & Paulina, Eastbound, Southwest Corner",41.9468959,-87.671393,0,,1
12536,12536,"Addison & Ashland","Addison & Ashland, Eastbound, Southwest Corner",41.94691775,-87.6690407,0,,1
12537,12537,"Addison & Greenview","Addison & Greenview, Eastbound, Southwest Corner",41.946974,-87.666547,0,,1
12538,12538,"Addison & Southport","Addison & Southport, Eastbound, Southwest Corner",41.947014,-87.664134,0,,1
12539,12539,"Addison & Lakewood","Addison & Lakewood, Eastbound, Southwest Corner",41.947055,-87.661709,0,,1
